Date,Open,High,Low,Close,Adj Close,Volume
2022-05-28,0.722628,0.724214,0.721129,0.722652,0.722652,14935416
2022-05-29,0.722531,0.764081,0.720387,0.755322,0.755322,30458867
2022-05-30,0.755322,0.803099,0.752907,0.788698,0.788698,108094749
2022-05-31,0.788748,0.792455,0.745401,0.748657,0.748657,73292351
2022-06-01,0.748531,0.768137,0.692908,0.709066,0.709066,118715155
2022-06-02,0.708971,0.708971,0.607581,0.613611,0.613611,120887904
2022-06-03,0.613598,0.615989,0.501657,0.529187,0.529187,123916552
2022-06-04,0.528853,0.572615,0.505176,0.561021,0.561021,87117691
2022-06-05,0.561068,0.565319,0.538270,0.549177,0.549177,41249665
2022-06-06,0.549183,0.593616,0.549102,0.571754,0.571754,43329108
2022-06-07,0.571674,0.577249,0.537310,0.565718,0.565718,43766402
2022-06-08,0.565687,0.566269,0.546325,0.549436,0.549436,36774402
2022-06-09,0.549488,0.557987,0.539442,0.542832,0.542832,24497556
2022-06-10,0.542814,0.561124,0.537867,0.542044,0.542044,39955222
2022-06-11,0.542069,0.547218,0.500951,0.510092,0.510092,31776908
2022-06-12,0.510072,0.512423,0.459662,0.473196,0.473196,42742151
2022-06-13,0.472939,0.472939,0.430979,0.449968,0.449968,62029373
2022-06-14,0.450014,0.467520,0.435856,0.459446,0.459446,56669323
2022-06-15,0.459430,0.461748,0.417203,0.441957,0.441957,65535957
2022-06-16,0.441932,0.444726,0.417428,0.418137,0.418137,32300231
2022-06-17,0.418178,0.423965,0.417643,0.422813,0.422813,28620494
2022-06-18,0.422759,0.423987,0.404860,0.411948,0.411948,41201754
2022-06-19,0.411963,0.434745,0.409533,0.433336,0.433336,37127490
2022-06-20,0.433211,0.438646,0.425115,0.437805,0.437805,32629542
2022-06-21,0.437846,0.443871,0.423997,0.424530,0.424530,41241149
2022-06-22,0.424530,0.425233,0.417484,0.417610,0.417610,22321391
2022-06-23,0.417670,0.431774,0.417381,0.431670,0.431670,17957349
2022-06-24,0.431679,0.462929,0.431500,0.461136,0.461136,27558815
2022-06-25,0.461160,0.467266,0.457857,0.467243,0.467243,23851710
2022-06-26,0.467254,0.475111,0.463166,0.463250,0.463250,19746216
2022-06-27,0.463166,0.467547,0.459736,0.462277,0.462277,21850461
